#GC Content	Count
0	174.0
1	189.0
2	198.0
3	243.5
4	295.0
5	314.0
6	384.0
7	457.5
8	480.0
9	512.0
10	600.0
11	747.0
12	838.0
13	1032.0
14	1563.0
15	2323.0
16	2746.0
17	3621.5
18	6269.0
19	11421.5
20	14802.0
21	18748.5
22	29767.0
23	43991.5
24	51144.0
25	61466.0
26	88049.0
27	118157.0
28	132004.0
29	150879.0
30	191459.0
31	234993.5
32	256823.0
33	286298.5
34	352133.0
35	420370.0
36	452248.0
37	487618.0
38	551877.0
39	629462.5
40	678159.0
41	747485.0
42	833452.5
43	881219.5
44	912345.0
45	930418.0
46	1010748.5
47	1071108.5
48	1069211.0
49	1030856.0
50	1051037.0
51	1223610.0
52	1337647.0
53	1456816.5
54	1613761.0
55	1638193.0
56	1624850.0
57	1754774.0
58	1848559.0
59	1813786.0
60	1815152.0
61	1784631.5
62	1694092.5
63	1514843.0
64	1395612.0
65	1531253.0
66	1808920.5
67	1667324.5
68	1383702.0
69	1424598.5
70	1192722.0
71	899018.0
72	878087.0
73	672745.0
74	291787.5
75	85107.5
76	54043.0
77	43471.5
78	26439.5
79	17746.0
80	15513.0
81	13095.0
82	8390.5
83	5006.0
84	3908.0
85	2877.0
86	1348.5
87	616.0
88	381.0
89	273.5
90	256.0
91	212.5
92	79.0
93	43.5
94	6.5
95	7.0
96	9.0
97	5.5
98	4.0
99	4.0
100	2.0
