#Total Deduplicated Percentage	32.75653445774225
#Duplication Level	Percentage of deduplicated	Percentage of total
1	78.61821608647135	25.752603042427246
2	10.21493664042364	6.692118480913815
3	3.974917936694201	3.9061360908006395
4	1.9709307648283734	2.5824344604769958
5	1.2316025267064523	2.0171515302151164
6	0.7505534673213735	1.4751318308814296
7	0.5355895791217087	1.2280840952595544
8	0.4065132303127464	1.065277170901407
9	0.30895400797611305	0.9108236347314409
>10	1.7191854831471116	10.406446246338582
>50	0.15172028925698014	3.445926328451231
>100	0.09943597617422474	6.2146955197647
>500	0.00817038429332416	1.817333814439634
>1k	0.005975260160962041	4.300634977509026
>5k	0.0013481757602961928	3.217958862447162
>10k+	0.0019501913513352914	24.96724391444201
